,pk,company_name,litigation_reason,litigation_reason_reference,claim_category,claim_category_reference,source_of_pfas,source_of_pfas_reference,settlement_finalized,settlement_currency,settlement_amount,settlement_paid_date,settlement_reference,0
29,als_63392_20241029170712,DuPont,Failing to Warn,Inferred: No explanation available,Product Liability,"Article: ""McPherson indicates that these manufacturers all contributed to the development and distribution of AFFF firefighting products, which contained toxic per- and polyfluoroalkyl substances (PFAS), as well as the very protective gear firefighters wear to prevent injuries.""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to DuPont or PFAS. It only discusses the lawsuit filed by Christopher McPherson and the ongoing litigation involving PFAS exposure. There is no indication that any settlement has been finalized or any specific settlement details provided.",
29,als_63392_20241029170712,National Foam,Failing to Warn,"Article: ""Manufacturers failed to warn firefighters and military service members about the risks of PFAS exposure from AFFF firefighting foam and turnout gear, lawsuit claims.""",Product Liability,"Article: ""McPherson indicates that these manufacturers all contributed to the development and distribution of AFFF firefighting products, which contained toxic per- and polyfluoroalkyl substances (PFAS), as well as the very protective gear firefighters wear to prevent injuries.""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement being finalized or any specific settlement amount related to 'National Foam' or 'pfas'. It discusses the filing of a lawsuit and the consolidation of federal lawsuits for pretrial proceedings, but no details about settlements are provided.",
30,als_63341_20241022162241,3M,Failing to Warn,Inferred: No explanation available,Environmental Liability,Inferred: No explanation available,AFFF runoff,"Article: ""Giamas indicates that the companies knew their aqueous film-forming foam (AFFF) products would release toxic per- and polyfluoroalkyl substances (PFAS) into local drinking water supplies""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M or PFAS. It discusses the ongoing litigation and the claims made by William Giamas, but there is no indication that the case has been settled or any specific settlement details provided.",
30,als_63341_20241022162241,BASF,Failing to Warn,Inferred: No explanation available,Environmental Liability,"Article: ""Giamas indicates that the companies knew their aqueous film-forming foam (AFFF) products would release toxic per- and polyfluoroalkyl substances (PFAS) into local drinking water supplies, yet failed to warn municipalities or the public in general about the serious health risks.""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement being finalized for BASF related to PFAS. It discusses the filing of a lawsuit and the ongoing litigation process, but no specific settlement amount, currency, or paid date is provided.",
30,als_63341_20241022162241,DuPont,Environmental Pollution,Inferred: No explanation available,Product Liability,"Article: ""Giamas presents claims for design defect, failure to warn, negligence, gross negligence, battery, fraudulent concealment, actual fraudulent transfer, constructive fraudulent transfer, seeking both compensatory and punitive damages.""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement being finalized for DuPont related to PFAS. It describes ongoing litigation and the consolidation of lawsuits for pretrial proceedings, with early trial dates expected to start in 2025. There is no mention of a specific settlement amount, currency, or paid date.",
31,als_63025_20241018210616,3M Company,Environmental Pollution,"Article: ""3M Company agreed to pay over $12.5 billion in a PFAS water contamination settlement""",Environmental Liability,Inferred: No explanation available,AFFF runoff,"Article: ""the manufacturers of the fire fighting foam now face product liability claims alleging that they failed to adequately warn about the risk of PFAS contamination of water supplies and the human body""",True,USD,12500000000.00,June 2023,"Article: ""3M Company agreed to pay over $12.5 billion in a PFAS water contamination settlement, to resolve claims brought by local water suppliers.""",
31,als_63025_20241018210616,BASF Corporation,Failing to Warn,Inferred: No explanation available,Product Liability,"Article: ""manufacturers of the fire fighting foam now face product liability claims alleging that they failed to adequately warn about the risk of PFAS contamination""",AFFF runoff,"Article: ""manufacturers of the fire fighting foam now face product liability claims alleging that they failed to adequately warn about the risk of PFAS contamination of water supplies and the human body""",False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to BASF Corporation for PFAS. It only mentions that 3M Company agreed to a settlement in June 2023, but there is no information about BASF Corporation's settlement. The text also indicates that there have not been any reported settlements in PFAS injury lawsuits, and none of those individual claims have yet gone before a jury.",
31,als_63025_20241018210616,DuPont,Failing to Warn,Inferred: No explanation available,Product Liability,"Article: ""the manufacturers of the fire fighting foam now face product liability claims alleging that they failed to adequately warn about the risk of PFAS contamination of water supplies and the human body.""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount or finalized settlement for DuPont related to PFAS. It only mentions a settlement by 3M Company and ongoing litigation involving multiple manufacturers, including DuPont. Therefore, no specific settlement details for DuPont can be extracted from the provided text.",
32,als_62715_20241008164120,Edgewell Personal Care Co.,Failing to Warn,Inferred: No explanation available,Product Liability,"Article: ""environmental group has filed a lawsuit against the manufacturer of Carefree feminine hygiene products, which seeks to have toxic and potentially cancerous Per- and polyfluoroalkyl substances (PFAS) removed from the company’s pad liners.""",Products,Inferred: No explanation available,False,,,,Inferred: The text does not mention any settlement being reached or any specific settlement amount for Edgewell Personal Care Co. related to PFAS. The article primarily discusses the lawsuit filed by the environmental group Ecological Alliance and the legislative actions taken by California. There is no information provided about a settlement being finalized or any monetary details related to a settlement.,
32,als_62715_20241008164120,3M Company,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""3M Company, DuPont, Chemguard, Inc., Tyco Fire Products and other manufacturers of chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",AFFF runoff,"Article: ""3M Company, DuPont, Chemguard, Inc., Tyco Fire Products and other manufacturers of chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company for PFAS. It only states that 3M Company, along with other manufacturers, faces thousands of PFAS water contamination lawsuits, and these claims are currently centralized for discovery and early bellwether trials. There is no indication that any settlement has been finalized or any specific settlement amount has been mentioned.",
32,als_62715_20241008164120,DuPont,Environmental Pollution,"Article: ""3M Company, DuPont, Chemguard, Inc., Tyco Fire Products and other manufacturers of chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",Environmental Liability,"Article: ""3M Company, DuPont, Chemguard, Inc., Tyco Fire Products and other manufacturers of chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to DuPont and PFAS. It only mentions that DuPont, along with other companies, faces thousands of PFAS water contamination lawsuits. There is no information provided about any settlements being finalized or specific amounts paid.",
32,als_62715_20241008164120,"Chemguard, Inc.",Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""Chemguard, Inc., Tyco Fire Products and other manufacturers of chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",AFFF runoff,"Article: ""3M Company, DuPont, Chemguard, Inc., Tyco Fire Products and other manufacturers of chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Chemguard, Inc. regarding PFAS. It only states that Chemguard, Inc. is one of the companies facing lawsuits over PFAS water contamination, but there is no information about any settlements being finalized or specific amounts being paid.",
32,als_62715_20241008164120,Tyco Fire Products,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""Tyco Fire Products and other manufacturers of chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",AFFF runoff,"Article: ""Tyco Fire Products and other manufacturers of chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Tyco Fire Products and PFAS. It only states that Tyco Fire Products, along with other manufacturers, faces thousands of PFAS water contamination lawsuits. There is no information provided about any settlements being finalized or specific amounts being paid.",
33,als_62803_20241007173738,3M Company,Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Environmental Liability,"Article: ""3M Company, DuPont, Chemguard Inc.,Tyco Fire Products and other manufacturers now face over 9,800 lawsuits from individuals with cancer and other health issues caused by PFAS water contamination""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company for PFAS. It only discusses ongoing litigation and the expected early trial dates in 2025. Therefore, there is no information available to determine if a settlement has been finalized or any details about the settlement amount.",
33,als_62803_20241007173738,DuPont,Bodily Injury (Individuals alleging health affects),"Article: ""3M Company, DuPont, Chemguard Inc.,Tyco Fire Products and other manufacturers now face over 9,800 lawsuits from individuals with cancer and other health issues caused by PFAS water contamination""",Environmental Liability,"Article: ""DuPont, Chemguard Inc.,Tyco Fire Products and other manufacturers now face over 9,800 lawsuits from individuals with cancer and other health issues caused by PFAS water contamination""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to DuPont and PFAS. It discusses ongoing litigation and the expected early trial dates in 2025, but no finalized settlement details are provided.",
33,als_62803_20241007173738,Chemguard Inc.,Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Environmental Liability,"Article: ""3M Company, DuPont, Chemguard Inc., Tyco Fire Products and other manufacturers now face over 9,800 lawsuits from individuals with cancer and other health issues caused by PFAS water contamination""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Chemguard Inc. It only discusses the ongoing litigation and the expected early trial dates in 2025. Therefore, it is not possible to determine if the case has been settled or any details about a settlement from the provided text.",
33,als_62803_20241007173738,Tyco Fire Products,Bodily Injury (Individuals alleging health affects),"Article: ""Tyco Fire Products and other manufacturers now face over 9,800 lawsuits from individuals with cancer and other health issues caused by PFAS water contamination""",Environmental Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: {'reason': 'The text does not mention any specific settlement amount, currency, or paid date for Tyco Fire Products related to PFAS. It only discusses the ongoing lawsuits and the expected trial dates in 2025. Therefore, it is not possible to determine if the case has been settled or any settlement details from the provided text.'}",
34,als_62575_20241001162501,3M Company,Environmental Pollution,"Article: ""3M Company, DuPont, Chemguard Inc., Tyco Fire Products and other manufacturers of PFAS chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",Environmental Liability,"Article: ""3M Company, DuPont, Chemguard Inc., Tyco Fire Products and other manufacturers of PFAS chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company for PFAS contamination. It discusses ongoing litigation and the coordination of pretrial proceedings, but no specific settlement details are provided.",
34,als_62575_20241001162501,DuPont,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""DuPont, Chemguard Inc., Tyco Fire Products and other manufacturers of PFAS chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to DuPont and PFAS. It only discusses ongoing litigation and the plans for addressing PFAS contamination by the Department of Defense. Therefore, no settlement information can be extracted from the provided text.",
34,als_62575_20241001162501,Chemguard Inc.,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""Chemguard Inc., Tyco Fire Products and other manufacturers of PFAS chemicals and fire safety products now face thousands of PFAS water contamination lawsuits brought by local water providers and individuals diagnosed with various types of cancer.""",AFFF runoff,"Article: ""Most of the PFAS health concerns have stemmed from water contamination problems, caused by the large volumes of the chemicals in aqueous film-forming foam (AFFF), which have been used by the military and firefighters for decades to fight fuel-based fires.""",False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Chemguard Inc. regarding PFAS. It only mentions that Chemguard Inc. is facing thousands of PFAS water contamination lawsuits, but there is no information about any settlements being finalized or specific amounts paid.",
34,als_62575_20241001162501,Tyco Fire Products,Environmental Pollution,Inferred: No explanation available,Environmental Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Tyco Fire Products for PFAS contamination. It only discusses ongoing litigation and the coordination of lawsuits, with early trial dates expected to start in 2025. Therefore, it can be inferred that no settlement has been finalized or detailed in the provided text.",
36,als_61591_20240910190655,3M Company,Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Environmental Liability,"Article: ""It was foreseeable to all Defendants that the PFAS chemicals and/or precursors or derivatives they sold into Colorado [would] contaminate the environment, including surface and ground water in the state""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement being finalized or any specific settlement amount related to 3M Company and PFAS. It discusses the ongoing litigation and the preparation for bellwether trials, but no details about a settlement amount, currency, or paid date are provided.",
36,als_61591_20240910190655,DuPont,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""“It was foreseeable to all Defendants that the PFAS chemicals and/or precursors or derivatives they sold into Colorado [would] contaminate the environment, including surface and ground water in the state,” Stanger states in the complaint.""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to DuPont or PFAS. It discusses the allegations and ongoing litigation, including the preparation of bellwether trials, but does not provide details about any finalized settlements or specific amounts.",
36,als_61591_20240910190655,BASF Corporation,Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Environmental Liability,"Article: ""It was foreseeable to all Defendants that the PFAS chemicals and/or precursors or derivatives they sold into Colorado [would] contaminate the environment, including surface and ground water in the state""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The provided text does not mention any settlement being finalized or any specific settlement amount, currency, or paid date related to BASF Corporation or PFAS. The text primarily discusses the allegations, the lawsuit filed by Madeline Stanger, and the ongoing legal proceedings, including the preparation of bellwether trials. There is no information indicating that a settlement has been reached or any details about a settlement amount.",
37,als_61666_20240905203403,3M Company,"['Product', 'Environmental Pollution', 'Failing to Warn', 'Bodily Injury (Individuals alleging health affects)', 'Occupational Exposure']",Inferred: No explanation available,Product Liability,Inferred: No explanation available,Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company and PFAS. It only discusses the allegations and the ongoing lawsuits without indicating any resolution or settlement.",
37,als_61666_20240905203403,DuPont,Product,"Article: ""Three major manufacturers of toxic chemicals used in stain resistant carpets and rugs face a class action lawsuit, alleging that they have known for decades about the harmful side effects of PFAS “forever chemicals” in their products""",Product Liability,"Article: ""alleging that they have known for decades about the harmful side effects of PFAS “forever chemicals” in their products""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to DuPont and PFAS. It only discusses the ongoing lawsuits and allegations against DuPont and other companies. There is no indication that any case has been settled or any specific settlement details provided.",
37,als_61666_20240905203403,Chemours,Product,"Article: ""Three major manufacturers of toxic chemicals used in stain resistant carpets and rugs face a class action lawsuit, alleging that they have known for decades about the harmful side effects of PFAS “forever chemicals” in their products""",Product Liability,"Article: ""Three major manufacturers of toxic chemicals used in stain resistant carpets and rugs face a class action lawsuit, alleging that they have known for decades about the harmful side effects of PFAS “forever chemicals” in their products""",Products,"Article: ""Chemours began manufacturing teflon and stain resistant carpet products as early as the 1950s""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to Chemours for PFAS. It only discusses the allegations and the ongoing lawsuit, without indicating that a settlement has been reached or finalized.",
37,als_61666_20240905203403,"Chemguard, Inc.",Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Environmental Liability,"Article: ""Chemguard, Inc. and other manufacturers already face thousands of PFAS exposure lawsuits being pursued in U.S. courts nationwide, primarily involving individuals who developed cancers and other injuries from use of the chemicals in aqueous film-forming foam (AFFF), which has been used by military and civilian firefighters for years to combat fuel-based fires.""",AFFF runoff,"Article: ""Chemguard, Inc. and other manufacturers already face thousands of PFAS exposure lawsuits being pursued in U.S. courts nationwide, primarily involving individuals who developed cancers and other injuries from use of the chemicals in aqueous film-forming foam (AFFF), which has been used by military and civilian firefighters for years to combat fuel-based fires.""",False,,,,"Inferred: The provided text does not mention any settlement being finalized or any specific settlement amount, currency, or paid date related to Chemguard, Inc. or any other company involved in the PFAS lawsuits. The text primarily discusses the allegations, the history of PFAS use, and the ongoing litigation without providing details of any concluded settlements.",
38,,3M Company,Environmental Pollution,Inferred: No explanation available,Product Liability,"Article: ""3M Company, DuPont and a number of other companies involved in the manufacture and sale of the fire suppression foam currently face several thousand product liability claims""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to 3M Company and PFAS. It discusses ongoing lawsuits and the consolidation of cases for pretrial proceedings, but no settlement details are provided.",
38,,DuPont,Environmental Pollution,"Article: ""3M Company, DuPont and a number of other companies involved in the manufacture and sale of the fire suppression foam currently face several thousand product liability claims, each raising similar allegations that the companies failed to disclose the risk that the chemicals may contaminate water supplies and cause serious health risks.""",Product Liability,"Article: ""3M Company, DuPont and a number of other companies involved in the manufacture and sale of the fire suppression foam currently face several thousand product liability claims""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to DuPont and PFAS. It only discusses ongoing lawsuits and the consolidation of cases for pretrial proceedings, with early trial dates expected to begin in 2025. Therefore, there is no information available to determine if a settlement has been finalized or any details about the settlement amount.",
39,als_61167_20240823000949,3M Company,Failing to Warn,"Article: ""3M Company, Tyco Fire Products, Chemguard, Inc. and other manufacturers involved in the sale of firefighting foam now face more than 8,000 AFFF lawsuits alleging that they failed to disclose serious health risks associated with PFAS chemicals contained in the foam.""",Product Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company and PFAS. It only discusses the ongoing lawsuits and the consolidation of pretrial proceedings before U.S. District Judge Richard M. Gergel in the District of South Carolina, with early trial dates expected to begin in 2025. Therefore, there is no information available to determine if the case has been settled or any details about a settlement amount.",
39,als_61167_20240823000949,Tyco Fire Products,Failing to Warn,"Article: ""now face more than 8,000 AFFF lawsuits alleging that they failed to disclose serious health risks associated with PFAS chemicals contained in the foam""",Product Liability,"Article: ""Tyco Fire Products, Chemguard, Inc. and other manufacturers involved in the sale of firefighting foam now face more than 8,000 AFFF lawsuits alleging that they failed to disclose serious health risks associated with PFAS chemicals contained in the foam.""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Tyco Fire Products and PFAS. It only discusses the ongoing lawsuits and the consolidation of cases for pretrial proceedings, with trial dates expected to begin in 2025. Therefore, there is no information available to determine if a settlement has been finalized or any details about a settlement amount.",
39,als_61167_20240823000949,"Chemguard, Inc.",Failing to Warn,Inferred: No explanation available,Product Liability,"Article: ""Chemguard, Inc. and other manufacturers involved in the sale of firefighting foam now face more than 8,000 AFFF lawsuits alleging that they failed to disclose serious health risks associated with PFAS chemicals contained in the foam.""",AFFF runoff,"Article: ""3M Company, Tyco Fire Products, Chemguard, Inc. and other manufacturers involved in the sale of firefighting foam now face more than 8,000 AFFF lawsuits alleging that they failed to disclose serious health risks associated with PFAS chemicals contained in the foam.""",False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Chemguard, Inc. or any other company involved in the PFAS lawsuits. It only discusses the ongoing litigation and the consolidation of cases for pretrial proceedings, with no indication of a finalized settlement.",
40,,3M Company,Environmental Pollution,"Article: ""alleging they are responsible for widespread water contamination and resulting health consequences""",Environmental Liability,"Article: ""3M Company agreed to pay over $12.5 billion in an AFFF water contamination settlement, to resolve claims brought by local water suppliers.""",AFFF runoff,"Article: ""the manufacturers of aqueous film-forming foam (AFFF) products""",True,USD,12500000000.00,June 2023,"Article: ""In June 2023, 3M Company agreed to pay over $12.5 billion in an AFFF water contamination settlement, to resolve claims brought by local water suppliers.""",
40,,Chemguard,Environmental Pollution,Inferred: No explanation available,Product Liability,"Article: ""the manufacturers of the fire fighting foam now face product liability claims alleging that they failed to adequately warn that the PFAS in AFFF would contaminate water supplies and the human body.""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement specifically related to Chemguard or PFAS. It only mentions a settlement by 3M Company for $12.5 billion in June 2023 related to AFFF water contamination, but no specific settlement amount, currency, or paid date for Chemguard is provided.",
40,,DuPont,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""alleging they are responsible for widespread water contamination and resulting health consequences""",AFFF runoff,"Article: ""A California couple has filed a lawsuit against the manufacturers of aqueous film-forming foam (AFFF) products, as well companies that sold the toxic “forever chemicals” it contained, alleging that the husband’s liver cancer diagnosis was caused water contamination from the firefighting foam used on military bases and airports near their home.""",False,,,,"Inferred: The text mentions a settlement by 3M Company but does not provide any information about a settlement involving DuPont related to PFAS. The text specifically states that there have not been any reported settlements in AFFF injury lawsuits, and none of those individual claims have yet gone before a jury. Therefore, it can be inferred that there is no settlement finalized for DuPont related to PFAS in the provided text.",
40,,Raytheon,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""alleging they are responsible for widespread water contamination and resulting health consequences""",AFFF runoff,"Article: ""A California couple has filed a lawsuit against the manufacturers of aqueous film-forming foam (AFFF) products, as well companies that sold the toxic “forever chemicals” it contained, alleging that the husband’s liver cancer diagnosis was caused water contamination from the firefighting foam used on military bases and airports near their home.""",False,,,,"Inferred: The text does not mention any specific settlement amount or finalized settlement related to Raytheon for PFAS. It only mentions that 3M Company agreed to pay over $12.5 billion in an AFFF water contamination settlement, but this is not related to Raytheon. Additionally, it states that there have not been any reported settlements in AFFF injury lawsuits, and none of those individual claims have yet gone before a jury.",
40,,BASF,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""alleging they are responsible for widespread water contamination and resulting health consequences""",AFFF runoff,"Article: ""A California couple has filed a lawsuit against the manufacturers of aqueous film-forming foam (AFFF) products, as well companies that sold the toxic “forever chemicals” it contained, alleging that the husband’s liver cancer diagnosis was caused water contamination from the firefighting foam used on military bases and airports near their home.""",False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to BASF for PFAS. It only mentions a settlement by 3M Company and indicates that no individual injury claims have yet gone before a jury or been settled.",
41,als_60874_20240812185353,3M Company,Environmental Pollution,Inferred: No explanation available,Environmental Liability,Inferred: No explanation available,AFFF runoff,"Article: ""3M Company agreed to pay over $12.5 billion in a PFAS water contamination settlement, to resolve claims brought by local water suppliers.""",True,USD,12500000000.00,June 2023,"Article: ""In June 2023, 3M Company agreed to pay over $12.5 billion in a PFAS water contamination settlement, to resolve claims brought by local water suppliers.""",
42,als_60732_20240808204254,3M Company,Environmental Pollution,Inferred: No explanation available,Environmental Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,True,USD,12500000000.00,June 2023,"Article: ""In June 2023, 3M Company agreed to pay over $12.5 billion in an AFFF water contamination settlement, to resolve claims brought by local water suppliers.""",
43,als_60319_20240722194625,3M Company,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""manufacturers like 3M Company, DuPont, Chemguard, Inc., and Tyco Fire Products, along with other chemical and fire safety product producers, now face thousands of PFAS water contamination lawsuits""",Operations,"Article: ""Researchers found the highest levels of bis-FMeSI, a type of bis-FASI, in environmental samples taken from the Cottage Grove, Minnesota area, which was in a relatively close proximity to a 3M manufacturing plant.""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company and PFAS. It discusses the environmental impact and ongoing litigation but does not provide details about any finalized settlements.",
43,als_60319_20240722194625,DuPont,Environmental Pollution,"Article: ""manufacturers like 3M Company, DuPont, Chemguard, Inc., and Tyco Fire Products, along with other chemical and fire safety product producers, now face thousands of PFAS water contamination lawsuits""",Environmental Liability,"Article: ""now face thousands of PFAS water contamination lawsuits that have been filed by local water providers and individuals diagnosed with various types of cancer""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to DuPont and PFAS. It only states that DuPont, along with other manufacturers, faces thousands of PFAS water contamination lawsuits. There is no information provided about any settlements being finalized or specific details about settlement amounts.",
43,als_60319_20240722194625,"Chemguard, Inc.",Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""Chemguard, Inc., and Tyco Fire Products, along with other chemical and fire safety product producers, now face thousands of PFAS water contamination lawsuits that have been filed by local water providers and individuals diagnosed with various types of cancer.""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The provided text does not mention any specific settlement amount, currency, or paid date related to Chemguard, Inc. and PFAS. It only discusses the environmental and health impacts of PFAS, ongoing lawsuits, and research findings. There is no information indicating that a settlement has been finalized or any details about a settlement amount.",
43,als_60319_20240722194625,Tyco Fire Products,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""Tyco Fire Products, along with other chemical and fire safety product producers, now face thousands of PFAS water contamination lawsuits that have been filed by local water providers and individuals diagnosed with various types of cancer.""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The provided text does not mention any specific settlement amount, currency, or paid date related to Tyco Fire Products and PFAS. It only discusses the general issue of PFAS contamination and the lawsuits faced by various manufacturers, including Tyco Fire Products, without providing details on any settlements.",
44,als_60433_20240718202839,3M Company,Environmental Pollution,Inferred: No explanation available,Product Liability,"Article: ""manufacturers now face product liability claims alleging that they failed to adequate warn about the risks posed by toxic per- and polyfluoroalkyl substances (PFAS) contained in the firefighting foam""",AFFF runoff,Inferred: No explanation available,True,USD,12500000000.00,June 2023,"Article: ""In June 2023, 3M Company agreed to pay over $12.5 billion in an AFFF water contamination settlement, to resolve claims brought by local water suppliers.""",
44,als_60433_20240718202839,Chemguard,Environmental Pollution,"Article: ""the manufacturers also face a number of PFAS water contamination lawsuits, alleging that individuals living near military bases, airports and firefighting training centers developed various injuries""",Product Liability,"Article: ""the manufacturers now face product liability claims alleging that they failed to adequate warn about the risks posed by toxic per- and polyfluoroalkyl substances (PFAS) contained in the firefighting foam""",AFFF runoff,"Article: ""Widespread use of AFFF caused testicular cancer diagnosis, after chemicals in the firefighting foam contaminated their local water supply""",False,,,,"Inferred: The text does not mention any settlement amount or finalized settlement related to Chemguard for PFAS. It only mentions a settlement by 3M Company and ongoing litigation involving Chemguard and other companies. Therefore, no specific settlement details for Chemguard can be extracted.",
44,als_60433_20240718202839,BASF Corporation,Environmental Pollution,"Article: ""the manufacturers also face a number of PFAS water contamination lawsuits, alleging that individuals living near military bases, airports and firefighting training centers developed various injuries""",Product Liability,"Article: ""the manufacturers now face product liability claims alleging that they failed to adequate warn about the risks posed by toxic per- and polyfluoroalkyl substances (PFAS) contained in the firefighting foam""",AFFF runoff,"Article: ""manufacturers now face product liability claims alleging that they failed to adequate warn about the risks posed by toxic per- and polyfluoroalkyl substances (PFAS) contained in the firefighting foam""",False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to BASF Corporation for PFAS. It only mentions that 3M Company agreed to a settlement, but no such information is provided for BASF Corporation.",
44,als_60433_20240718202839,The Chemours Company,Environmental Pollution,Inferred: No explanation available,Product Liability,"Article: ""the manufacturers now face product liability claims alleging that they failed to adequate warn about the risks posed by toxic per- and polyfluoroalkyl substances (PFAS) contained in the firefighting foam""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount or finalized settlement related to 'The Chemours Company' for 'pfas'. It only mentions that 3M Company agreed to a settlement, but no such information is provided for The Chemours Company. Therefore, it cannot be determined from the text.",
